id_producto,nombre_marca,nombre_reciclaje,nombre_empresa,nombre_productos_clasificacion,nombre,gramos_envase,formato,unidad,unidad_real,cantidad,texto,cluster300,label300,label
2162.0,savory,,SAVORY,CONGELADOS,Helado litro selva negra,1.0,LT,LT,LT,,helado litro selva negro,35,Helado,Helado
2163.0,trendy,,,CONGELADOS,Helado Chocolate suizo frutos del bosque,1.0,25LT,LT,LT,25.0,helado chocolate suizo frutos bosque,35,Helado,Helado
2164.0,bresler,,,CONGELADOS,Postre Helado Bresler Viennetta Clasica,1.0,1LT,LT,LT,1.0,postre helado bresler viennetta clasica,66,Helado Postre,Helado Postre
2165.0,bresler,,,CONGELADOS,Postre Helado Bresler Carte Dor Almendrado,1.0,1LT,LT,LT,1.0,postre helado bresler carte dor almendrado,191,Carte Dor Helado Postre,Carte Dor Helado Postre
2166.0,tavelli,,,CONGELADOS,Helado chocolate almendra mani,1.0,800ML,ML,ML,800.0,helado chocolate almendra mani,35,Helado,Helado
2167.0,san,,,CONGELADOS,Helado frambuesa fruta,1.0,FRANCISCO,FRANCISCO,FRANCISCO,,helado frambuesa fruta,35,Helado,Helado
2168.0,san,,,CONGELADOS,Helado limon fruta,1.0,FRANCISCO,FRANCISCO,FRANCISCO,,helado limon fruta,35,Helado,Helado
2169.0,chamonix,,,CONGELADOS,Helado piña cassata,1.0,25LT,LT,LT,25.0,helado piña cassata,15,Cassata Helado,Cassata Helado
2170.0,panda,,,CONGELADOS,Helado De Agua Sabor piña,1.0,25L,LT,LT,25.0,helado agua sabor piña,35,Helado,Helado
2171.0,trendy,,,CONGELADOS,Helado lucuma nuez vainilla,1.0,25LT,LT,LT,25.0,helado lucuma nuez vainilla,35,Helado,Helado
1593.0,stella,,,"LICORES, CERVEZAS Y  VINOS",Pack CERVEZA Lata,1.0,ARTOIS,ARTOIS,ARTOIS,,pack cerveza lata,158,Cerveza Lata,Cerveza Lata
2173.0,bresler,,,CONGELADOS,Postre Helado Bresler Magnum Dulce de Leche,1.0,900ML,ML,ML,900.0,postre helado bresler magnum dulce leche,234,Dulce Helado Leche,Dulce Helado Leche
2174.0,bresler,,,CONGELADOS,Postre Helado Bresler Viennetta Lucuma,1.0,1LT,LT,LT,1.0,postre helado bresler viennetta lucuma,66,Helado Postre,Helado Postre
2175.0,bresler,,,CONGELADOS,Postre Helado Bresler Magnum Chocolate Nuss,1.0,900ML,ML,ML,900.0,postre helado bresler magnum chocolate nuss,66,Helado Postre,Helado Postre
2176.0,bresler,,,CONGELADOS,Postre Helado Bresler Viennetta Cappuccino,1.0,1LT,LT,LT,1.0,postre helado bresler viennetta cappuccino,66,Helado Postre,Helado Postre
2177.0,bresler,,,CONGELADOS,Postre Helado Bresler Viennetta Mora Crema,1.0,1LT,LT,LT,1.0,postre helado bresler viennetta mora crema,66,Helado Postre,Helado Postre
2178.0,bresler,,,CONGELADOS,Postre Helado Bresler Carte Dor Tres leche,1.0,1LT,LT,LT,1.0,postre helado bresler carte dor tres leche,191,Carte Dor Helado Postre,Carte Dor Helado Postre
2179.0,tavelli,,,CONGELADOS,Helado dulce de leche granizado,1.0,800ML,ML,ML,800.0,helado dulce leche granizado,234,Dulce Helado Leche,Dulce Helado Leche
2180.0,san,,,CONGELADOS,Helado Chocolate nuss Light,1.0,FRANCISCO,FRANCISCO,FRANCISCO,,helado chocolate nuss light,35,Helado,Helado
2181.0,san,,,CONGELADOS,Helado vainilla light,1.0,FRANCISCO,FRANCISCO,FRANCISCO,,helado vainilla light,35,Helado,Helado
2182.0,san,,,CONGELADOS,Helado piña fruta,1.0,FRANCISCO,FRANCISCO,FRANCISCO,,helado piña fruta,35,Helado,Helado
2183.0,san,,,CONGELADOS,Helado arandano fruta,1.0,FRANCISCO,FRANCISCO,FRANCISCO,,helado arandano fruta,35,Helado,Helado
2184.0,san,,,CONGELADOS,Helado berry light,1.0,FRANCISCO,FRANCISCO,FRANCISCO,,helado berry light,35,Helado,Helado
2185.0,chamonix,,,CONGELADOS,Helado chocolate  leches y Manjar,1.0,25LT,LT,LT,25.0,helado chocolate leches manjar,35,Helado,Helado
2186.0,chamonix,,,CONGELADOS,Helado trisabor cassata,1.0,LT,LT,LT,,helado trisabor cassata,15,Cassata Helado,Cassata Helado
2187.0,tottus,,TOTTUS,CONGELADOS,Helado mini cono  unidades,1.0,400G,GR,GR,400.0,helado mini cono unidad,147,Helado Mini,Helado Mini
2188.0,tottus,,TOTTUS,CONGELADOS,Pack helado sandwich vainilla,1.0,UN,UN,UN,,pack helado sandwich vainilla,35,Helado,Helado
2189.0,tottus,,TOTTUS,CONGELADOS,Pack paletas mango,1.0,UN,UN,UN,,pack paleta mango,43,,Paleta
2190.0,tottus,,TOTTUS,CONGELADOS,Pack hel paleta vai cobert choc tottus,1.0,UN,UN,UN,,pack hel paleta vai cobert choc tottus,43,,Choc Cobert Hel Paleta Vai
2191.0,tottus,,TOTTUS,CONGELADOS,Pack paletas frutilla,1.0,UN,UN,UN,,pack paletas frutilla,43,,
2192.0,tottus,,TOTTUS,CONGELADOS,Pack hel paleta vai luc c mani,1.0,UN,UN,UN,,pack hel paleta vai luc mani,43,,Hel Luc Mani Paleta Vai
2193.0,savory,,SAVORY,CONGELADOS,Helado danky mini nogatonga multipack,1.0,580XML,ML,ML,580.0,helado danky mini nogatonga multipack,147,Helado Mini,Helado Mini
2194.0,savory,,SAVORY,CONGELADOS,Helado chocolito mini multipack,1.0,10500UNML,UNML,UNML,10500.0,helado chocolito mini multipack,147,Helado Mini,Helado Mini
2195.0,tottus,,TOTTUS,CONGELADOS,Helado Mini sandwich  unidades,1.0,400G,GR,GR,400.0,helado mini sandwich unidad,147,Helado Mini,Helado Mini
2196.0,savory,,SAVORY,CONGELADOS,Helado centella multipack,1.0,2450XML,ML,ML,2450.0,helado centella multipack,195,Helado Multipack,Helado Multipack
2197.0,savory,,SAVORY,CONGELADOS,Helado sahne nuss paleta mini multipack,1.0,560XML,ML,ML,560.0,helado sahne nuss paleta mini multipack,147,Helado Mini,Helado Mini
2198.0,savory,,SAVORY,CONGELADOS,Helado sahne nuss cono mini multipack,1.0,580XML,ML,ML,580.0,helado sahne nuss cono mini multipack,147,Helado Mini,Helado Mini
2199.0,savory,,SAVORY,CONGELADOS,Helado mini kriko multipack,1.0,6UN,UN,UN,6.0,helado mini kriko multipack,147,Helado Mini,Helado Mini
2200.0,savory,,SAVORY,CONGELADOS,Helado lolly pop multipack,1.0,LT,LT,LT,,helado lolly pop multipack,195,Helado Multipack,Helado Multipack
